Block,GEN,KILL,IN,OUT
B0,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].price_46;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31,,,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].price_46;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31
B1,,,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].price_46;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].price_46;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31
B2,,,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[2].price_46;inventory[0].in_stock_33;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31
B3,choice_73,,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;int choice_26;inventory[1].price_39;choice_73;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31
B4,,,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[2].price_46;inventory[0].in_stock_33;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[2].price_46;inventory[0].in_stock_33;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31
B6,,,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[2].price_46;inventory[0].in_stock_33;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[2].price_46;inventory[0].in_stock_33;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31
B7,,,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[2].price_46;inventory[0].in_stock_33;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31,int choice_26;inventory[1].quantity_38;inventory[1].price_39;inventory[2].id_43;int itemCount_24;inventory[0].price_32;inventory[2].price_46;inventory[0].in_stock_33;int nextId_25;inventory[2].quantity_45;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;inventory[0].quantity_31
B8,newItem.id_90,,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31
B9,newItem.quantity_99,,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31
B10,,,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31
B11,,,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31
B12,,,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31
B13,newItem.price_108,,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;inventory[0].quantity_31,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;newItem.price_108;inventory[0].quantity_31
B14,,,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;newItem.price_108;inventory[0].quantity_31,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;newItem.price_108;inventory[0].quantity_31
B15,,,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;newItem.price_108;inventory[0].quantity_31,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;newItem.price_108;inventory[0].quantity_31
