Block,GEN,KILL,IN,OUT
B0,char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;int num_students_12,,,char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;int num_students_12
B1,,,char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;int num_students_12,char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;int num_students_12
B2,,,char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;int num_students_12,char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;int num_students_12
B3,student_ids[i]_44;total_scores[i]_50,,char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;int num_students_12,student_ids[i]_44;total_scores[i]_50;char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;int num_students_12
B4,,,int num_students_12;student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31,student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;int num_students_12
B5,temp_score_57,,int num_students_12;student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31,student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;int num_students_12;temp_score_57
B6,,,int num_students_12;temp_score_57;student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31,student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;int num_students_12;temp_score_57
B7,,,int num_students_12;temp_score_57;student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31,student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;int num_students_12;temp_score_57
B8,scores[i][j]_64;total_scores[i] +_71;scores[i][j]_67;scores[i][j]_69,,student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;int num_students_12;temp_score_57,scores[i][j]_64;scores[i][j]_67;int num_students_12;temp_score_57;scores[i][j]_69;student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;total_scores[i] +_71
B10,,,scores[i][j]_64;scores[i][j]_67;int num_students_12;temp_score_57;scores[i][j]_69;student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;total_scores[i] +_71,scores[i][j]_64;scores[i][j]_67;int num_students_12;temp_score_57;scores[i][j]_69;student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;total_scores[i] +_71
